UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/09/08T00:00:44z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,63,51.15,852.17,0.00,30944,31,670,23.00,33.04,37.59,21.59,31.50,37.59,3991.04,1206.33,186.65,16.74,4.13,2.91,24.47,33.27,35.31,22.11,31.33,35.31,4283.80,1253.22,188.07,8.67,1.33,0.36
2019/09/08T00:02:04z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,62,50.72,852.18,0.00,30944,31,750,24.44,35.33,40.31,22.22,32.73,40.31,4245.27,1270.04,219.18,16.84,4.49,2.76,25.38,33.11,36.64,22.81,31.62,36.64,4430.36,1283.49,176.83,12.43,2.68,0.77
2019/09/08T00:02:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,62,50.72,852.16,0.00,30944,31,31,21.60,28.00,32.40,20.47,27.53,32.40,2295.80,688.00,95.73,10.27,2.93,1.47,23.22,29.22,29.44,22.11,29.00,29.44,2511.33,710.00,95.56,4.89,0.00,0.00
2019/09/08T00:03:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,62,50.72,852.15,0.00,30944,31,111,24.58,34.17,37.31,22.48,32.29,37.31,4119.50,1234.17,199.85,10.88,3.21,1.12,26.13,34.74,37.07,23.20,32.65,37.07,4441.04,1299.87,185.63,12.96,1.91,0.00
2019/09/08T00:05:15z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,62,49.78,852.21,0.00,30944,31,191,24.45,35.39,38.64,22.39,33.09,38.64,4149.34,1246.18,203.55,13.18,3.27,2.23,26.38,36.31,37.82,23.44,33.60,37.82,4571.60,1330.98,195.53,8.89,1.24,0.27
2019/09/08T00:06:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,63,50.21,852.25,0.00,30944,31,271,24.51,35.14,39.44,22.42,32.77,39.33,4197.77,1262.30,215.21,16.09,3.07,1.91,24.56,33.20,35.67,22.51,31.71,35.67,4245.53,1237.96,191.98,12.22,1.47,0.27
2019/09/08T00:07:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,63,50.21,852.24,0.00,30944,31,351,23.28,32.84,35.51,21.72,31.51,35.51,4006.81,1198.26,193.21,9.95,1.95,1.95,26.83,35.55,38.83,23.62,33.13,38.83,4561.79,1332.06,195.02,15.06,1.62,0.34
2019/09/08T00:09:15z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,63,50.21,852.20,0.00,30944,31,431,24.62,34.32,37.85,22.43,32.30,37.85,4160.49,1255.98,204.09,12.00,2.34,1.57,25.60,34.63,39.71,23.12,32.58,39.71,4427.00,1278.42,195.65,17.25,5.12,0.96
2019/09/08T00:10:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,63,50.21,852.21,0.00,30944,31,511,25.95,35.91,39.30,23.18,33.50,39.30,4360.43,1309.11,204.75,13.73,2.59,1.86,25.91,35.59,39.30,23.05,33.02,39.30,4533.68,1321.09,203.09,14.55,3.45,0.96
2019/09/08T00:11:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,63.00,63,50.21,852.26,0.00,30944,31,591,26.59,37.80,42.85,23.50,34.48,42.54,4519.43,1361.22,228.35,17.26,3.13,1.52,26.20,36.48,39.75,23.11,33.41,39.75,4712.52,1351.23,199.16,17.23,2.50,0.96
