UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2019/09/03T10:11:10z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,852.11,0,30944,31,190,21.66,32.09,35.07,20.77,31.09,35.07,3734.52,1131.2,197.5,12.18,2.86,2.59,24.57,33.5,36.43,22.39,31.74,36.43,4223.48,1223.8,200.09,10.7,2.52,0.52,,,,,
2019/09/03T10:12:30z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,852.02,0,30944,31,270,20.34,28.34,31.48,19.86,28.14,31.48,3516.48,1063.16,170.8,10.68,2.32,0.68,22.29,31.71,34.69,21.07,30.69,34.69,3890,1128.07,184.42,12.62,2.53,0.52,,,,,
2019/09/03T10:13:50z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,852.07,0,30944,31,350,21.09,30.71,35.56,20.29,29.84,35.56,3672.53,1107.07,178.73,13.29,4.27,3.78,24.46,33.3,36.5,22.35,31.76,36.5,4208.48,1229.78,186.74,13.7,2.22,0.65,,,,,
2019/09/03T10:15:10z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,852.05,0,30944,31,430,22.22,30.74,33.89,21.22,29.87,33.89,3752.48,1139.13,167.02,13.43,3,0.61,23.47,31.44,34.16,21.93,30.76,34.16,4026.93,1162.31,184.13,9.6,2,0.18,,,,,
2019/09/03T10:16:30z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,851.89,0,30944,31,510,21.67,31.67,35.43,20.74,30.67,35.43,3747,1135.11,189.5,12.83,3.43,0.74,23,31.73,35,21.42,30.69,35,3996.87,1160.42,180.11,15.51,3.33,0.44,,,,,
2019/09/03T10:17:50z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,38,53.9,852.03,0,30944,31,590,22.34,29.43,35.77,21.15,28.98,35.77,3805.28,1154.45,170.66,15.36,4.72,3.23,24.33,32.54,34.07,22.17,31.11,34.07,4187.93,1227.13,190.65,5.57,1.61,0.48,,,,,
2019/09/03T10:19:10z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,38,53.9,852,0,30944,31,670,19.63,26.35,28.35,19.33,26.35,28.35,3368.74,1004.76,142.46,8.65,2.48,0.61,22.3,29.24,32.3,21.13,29.04,32.3,3743.28,1085.65,174.02,10.04,2.65,1.09,,,,,
2019/09/03T10:20:30z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.9,0,30944,31,750,19.68,27.3,30.74,19.38,27.13,30.74,3404.87,1037.94,161.87,12.06,2.47,2.17,20.51,27.7,30.66,19.91,27.47,30.66,3625.91,1044.45,158.6,12.43,2.13,0.21,,,,,
2019/09/03T10:21:01z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.83,0,30944,31,30,20.53,25.8,27.8,19.8,25.8,27.8,1962.6,588.47,83.27,2.8,1.73,0.4,22.22,27.22,28.22,20.67,27.22,28.22,2377,699.11,95.89,1.78,0,0,,,,,
2019/09/03T10:22:21z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,37,54.06,851.88,0,30944,31,110,19.27,26.73,31.49,18.91,26.73,31.49,3280.13,982.4,173.84,13.6,5.2,2.89,20.68,26.91,27.95,20.05,26.91,27.95,3530.11,1035.18,150.32,6.45,0.91,0,,,,,
2019/09/03T10:23:41z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,36,54.19,851.78,0,30944,31,190,18.86,27.27,30.7,18.77,27.27,30.7,3317.39,999.73,175.5,11.32,1.73,1.41,21.09,29.36,30.7,20.11,29,30.7,3796.23,1094.02,180.23,6.41,1.09,0.23,,,,,
2019/09/03T10:25:01z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,36,54.19,851.77,0,30944,31,270,18.44,28.84,32.13,18.44,28.67,32.13,3299,990.11,178.76,12.49,2.53,1.91,21.07,27.84,30.23,20.32,27.61,30.23,3654.2,1045.82,159.16,9.77,2.32,0.23,,,,,
2019/09/03T10:26:21z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,85,35,54.3,851.72,0,30944,31,350,19.67,27.43,30.65,19.17,27.43,30.65,3324.85,1013.72,174.83,10.39,2.48,1.22,20.25,27.62,30.73,19.56,27.52,30.73,3593.75,1050.73,156.23,12.67,2.58,0.23,,,,,
2019/09/03T10:27:41z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,85,35,54.3,851.79,0,30944,31,430,19.83,27.65,30.35,19.35,27.46,30.35,3444.72,1039.57,166.22,9.17,2.09,2.09,22.98,30.95,35.25,21.64,30.16,35.25,3932.52,1152.45,175.16,16.55,5.14,0.23,,,,,
2019/09/03T10:29:01z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,37,54.06,851.8,0,30944,31,510,18.96,25.31,27.93,18.93,25.31,27.93,3251.2,973.33,148.87,7.6,2.67,1.64,18.45,26.43,27.7,18.34,26.32,27.7,3289.28,964.98,148.43,9.28,1.66,0.23,,,,,
2019/09/03T10:30:21z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,36,54.19,851.8,0,30944,31,590,14.73,21.2,24.7,14.73,21.2,24.7,2570.18,776.18,131.57,10.27,3.23,1.5,16.43,23.16,25.68,16.43,23.16,25.68,2885.05,840.84,131.8,11.91,2.55,0.23,,,,,
2019/09/03T10:31:41z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,35,53.42,851.69,0,30944,31,670,16.38,23.45,26.6,16.38,23.45,26.6,2882.23,867.02,137.51,11.62,2.09,2.04,18.31,24.17,26.5,18.26,24.17,26.5,3150.43,917.17,137.05,7.86,1.33,0.23,,,,,
2019/09/03T10:33:01z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,36,54.19,851.81,0,30944,31,750,16.94,22.77,23.64,16.94,22.77,23.64,2864.36,862.28,135.23,4.98,2.09,2.04,16.02,21.6,24.14,16.02,21.6,24.14,2867.58,828.42,136.53,7.67,2.42,0.6,,,,,
2019/09/03T10:33:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,35,52.54,851.68,0,30944,31,30,16.8,20.87,24.73,16.8,20.87,24.73,1745.8,515.13,63.93,1.73,1.73,1.73,12.2,15.7,16.8,12.2,15.7,16.8,1627.2,493,69.3,1.6,1.2,0,,,,,
2019/09/03T10:34:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.74,0,30944,31,110,17.98,25.05,27.58,17.98,25.05,27.58,3147.49,940.35,148.05,9.16,2.56,1.49,19.43,25.91,28.8,18.98,25.91,28.8,3455.52,1000.98,133.02,9.91,2,0,,,,,
2019/09/03T10:36:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,36,54.19,851.51,0,30944,31,190,18.31,25.42,27.42,18.31,25.42,27.42,3164.27,943.8,152.58,7.78,1.6,0.93,21.02,28.33,30.64,20.31,28.13,30.64,3646.67,1061.53,163.64,14.44,0.22,0,,,,,
2019/09/03T10:37:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,84,35,53.42,851.63,0,30608,31,270,18.84,26.16,28.51,18.84,26.16,28.51,3273.47,987.91,144.09,10.93,1.73,1.38,19.05,25.58,28.47,19,25.58,28.47,3298.26,965.33,145.53,10.19,2.7,0,,,,,
2019/09/03T10:38:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,85,35,54.3,851.54,0,30608,31,350,18.35,24.11,27.39,18.35,24.11,27.39,3110.41,936.22,132.37,8.78,2.74,1.87,18.67,26.29,28.29,18.57,26.29,28.29,3415.71,961.26,157.14,10.81,2.29,0.71,,,,,
2019/09/03T10:40:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,85,35,54.3,851.56,0,30608,31,430,18.7,24.8,25.98,18.61,24.8,25.98,3069.33,930.39,151.11,6.87,1.04,0.43,18.74,25.09,28.3,18.72,25.09,28.3,3347.23,957.6,156.81,9.77,3.12,0.05,,,,,
2019/09/03T10:41:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,85,35,54.3,851.53,0,30608,31,510,17.67,23.18,25.38,17.67,23.18,25.38,2972.6,899.13,127.31,10.4,0.67,0.43,17.73,24.73,27.64,17.73,24.73,27.64,3228,917.25,142.25,10.77,1.73,0.36,,,,,
2019/09/03T10:42:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,35,52.54,851.62,0,30608,31,590,15.96,20.4,23.51,15.96,20.4,23.51,2741.87,821.27,113.31,7.07,3.38,2.04,17.83,23.89,25.39,17.83,23.89,25.39,3083.09,894.5,131.43,7.43,1.83,0.36,,,,,
2019/09/03T10:44:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,35,52.54,851.6,0,30608,31,670,16.68,24.27,26.41,16.68,24.27,26.41,2950.7,885.3,144.34,10.59,0.86,0.64,17.32,22.7,24.42,17.32,22.7,24.42,2998.2,859.96,132.04,10.12,1.76,0.36,,,,,
2019/09/03T10:45:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.65,0,30608,31,750,18.5,26.48,29.08,18.29,26.29,29.08,3181.31,956.56,160.54,9.83,1.87,0.42,19.92,27.65,30.08,19.48,27.35,30.08,3546,1021.7,162.07,12.55,1,0.36,,,,,
2019/09/03T10:46:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,35,52.54,851,0,30608,31,830,15.74,23.17,25.72,15.74,23.17,25.72,2814.78,849.54,150.63,8,1.43,1.43,17.07,22.11,23.39,17.07,22.11,23.39,2955.34,851.11,114.57,7.36,0.68,0.68,,,,,
2019/09/03T10:48:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,35,51.66,851.54,0,30608,31,910,16.36,21.53,24.56,16.36,21.53,24.56,2835.53,850.36,133.27,7.82,2.09,1.51,16.57,21.95,23.82,16.57,21.95,23.82,2974.5,845.98,114.34,8.41,1.55,0.68,,,,,
2019/09/03T10:49:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.49,0,30608,31,990,14.69,21.76,24.62,14.69,21.76,24.62,2609.27,780.51,139.82,10.71,2.36,2,17.74,24.43,26.24,17.74,24.43,26.24,3107.79,909.9,134.98,10.19,1.33,0.68,,,,,
2019/09/03T10:50:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.49,0,30608,31,1070,14.51,20.61,22.15,14.51,20.61,22.15,2594.71,775.54,133.15,7.61,1.71,0.59,16.32,21.63,22.98,16.32,21.63,22.98,2889.15,837.24,120.63,6.24,0.59,0.39,,,,,
2019/09/03T10:52:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.49,0,30896,31,1150,16.18,22.87,25.44,16.18,22.87,25.44,2771.2,845.51,132,9.82,2.84,1.24,18.17,25.21,27.64,18.17,25.21,27.64,3218.14,929.36,144.4,9.81,2.52,0.24,,,,,
2019/09/03T10:53:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.43,0,30896,31,1230,16.32,24.43,27.61,16.32,24.43,27.61,2853.82,864.8,143,13.64,3,1.91,18.05,22.82,24.89,18.05,22.82,24.89,3108.14,900.59,117.61,10.36,0.45,0.45,,,,,
2019/09/03T10:54:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.43,0,30896,31,1310,16.56,22.95,24.7,16.56,22.95,24.7,2827.88,851.07,137.42,5.35,1.63,1.91,16.98,24.05,27.1,16.98,24.05,27.1,3102.79,903.38,141.76,12.38,1.38,0.57,,,,,
2019/09/03T10:56:11z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,36,52.42,851.38,0,30896,31,1390,15.24,21.71,23.21,15.24,21.71,23.21,2768.79,831.38,114.02,6.1,1.86,0.57,17.7,24.16,25.16,17.7,24.16,25.16,3177.82,915.82,132.16,6.77,1.45,0.23,,,,,
2019/09/03T10:57:31z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,83,36,53.31,851.38,0,30896,31,1470,16.02,21.05,23.24,16.02,21.05,23.24,2746.93,820.93,116.02,7.57,1.33,0.67,17.36,22.14,24.14,17.36,22.14,24.14,3059.86,872.33,123.48,6.62,1.43,0.86,,,,,
2019/09/03T10:58:51z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,82,37,53.17,851.37,0,30896,31,1550,15.66,21.66,23.34,15.66,21.66,23.34,2799.34,834.18,133.57,6.73,2.05,0.18,15.88,22.02,23.81,15.88,22.02,23.81,2911.53,822.37,135.12,6.42,2.56,0.86,,,,,
