UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/05/16T15:02:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,73.00,25,35.10,856.93,0.00,31312,-49,112,0.40,0.18,1.32,0.40,0.18,1.32,190.57,58.95,6.64,2.86,1.73,0.68,0.00,0.00,0.00,0.00,0.00,0.00,141.40,41.29,1.51,0.09,0.00,0.00
2019/05/16T15:03:52z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,72.00,25,34.25,856.90,0.00,31312,-53,192,0.40,0.07,0.09,0.40,0.07,0.09,159.27,49.36,7.11,0.71,1.73,0.68,0.00,0.24,0.35,0.00,0.24,0.35,174.65,49.87,5.83,1.43,0.00,0.00
2019/05/16T15:05:12z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,73.00,25,35.10,856.93,0.00,31312,-51,272,0.40,0.07,0.09,0.40,0.07,0.09,86.23,24.96,5.45,0.71,1.73,0.68,0.00,0.24,0.35,0.00,0.24,0.35,138.68,35.23,2.86,0.41,0.00,0.00
2019/05/16T15:06:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,73.00,25,35.10,856.94,0.00,31312,-49,352,83.42,190.12,354.02,55.95,127.19,236.88,15647.65,4912.67,1894.77,411.00,163.47,106.09,68.67,160.27,242.76,46.87,108.16,164.53,12952.33,3932.04,1498.51,298.78,80.16,12.42
2019/05/16T15:07:52z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,73.00,24,34.07,856.92,0.00,31312,-53,432,269.85,781.21,1616.73,179.23,520.21,1077.21,54240.75,17426.88,8640.02,2151.48,843.29,513.31,268.43,784.17,1305.72,178.19,522.13,869.85,52133.94,16430.15,7906.11,1856.89,545.36,59.96
2019/05/16T15:09:12z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,73.00,24,34.07,856.78,0.00,31312,-50,512,265.96,730.30,1508.28,176.57,486.35,1004.80,52423.30,16728.48,7864.20,1975.72,797.59,494.87,266.84,764.09,1283.91,177.16,508.57,855.25,51577.91,16240.86,7708.02,1826.75,535.95,66.80
2019/05/16T15:10:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,74.00,24,34.92,856.84,0.00,31312,-50,592,202.19,461.38,865.98,133.91,306.74,576.64,37359.57,11733.62,4501.72,1029.04,428.17,268.74,194.66,471.68,747.11,128.94,313.53,497.51,36299.75,11122.30,4469.98,966.81,288.21,37.96
2019/05/16T15:11:52z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,74.00,24,34.92,856.82,0.00,31312,-50,672,86.66,174.85,297.70,56.91,115.87,197.70,15718.60,4856.40,1550.77,320.28,126.79,75.81,87.41,185.04,273.80,57.52,122.59,181.74,16279.30,4864.09,1607.67,319.67,90.30,9.65
2019/05/16T15:13:12z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,74.00,24,34.92,856.73,0.00,31312,-50,752,40.91,83.40,142.70,30.11,56.79,95.57,7719.96,2358.36,721.89,151.30,59.74,42.53,42.49,87.15,130.46,30.88,58.83,88.22,8123.85,2395.80,735.20,144.90,43.24,6.15
2019/05/16T15:14:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,74.00,24,34.92,856.73,0.00,31312,-51,832,21.57,43.70,71.74,20.52,37.57,59.98,4088.93,1255.41,377.83,74.98,29.13,20.39,20.88,42.67,65.14,19.83,36.83,56.31,4147.07,1187.95,373.29,80.57,23.14,3.00
