UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/09/09T00:01:16z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.52,0.00,30944,31,751,19.98,28.71,31.98,19.76,28.60,31.98,3414.79,1037.69,165.74,13.10,3.33,1.76,21.00,29.58,32.76,20.29,29.13,32.76,3645.33,1069.33,169.27,12.40,2.71,0.36
2019/09/09T00:01:47z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.37,0.00,30944,31,31,18.13,26.60,31.33,18.13,26.60,31.33,1950.60,587.13,93.47,7.60,2.93,2.13,22.67,27.89,28.44,21.33,27.67,28.44,2642.67,753.33,98.78,6.67,0.00,0.00
2019/09/09T00:03:07z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.44,0.00,30944,31,111,19.40,25.24,28.29,19.36,25.24,28.29,3325.20,996.76,142.89,7.33,2.80,0.98,23.73,29.91,33.93,21.96,29.53,33.93,4021.47,1179.98,167.04,14.71,4.98,0.00
2019/09/09T00:04:27z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.45,0.00,30944,31,191,20.09,28.63,33.96,19.54,28.59,33.96,3498.91,1045.57,173.76,19.13,4.22,1.78,20.98,30.40,36.21,20.23,29.83,36.21,3724.02,1102.45,176.89,19.91,6.17,0.43
2019/09/09T00:05:47z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.53,0.00,30944,31,271,19.19,28.43,33.91,18.89,28.06,33.91,3315.45,1004.62,179.15,15.53,5.66,4.04,20.59,29.00,33.84,19.80,28.55,33.84,3729.55,1093.98,177.86,14.77,6.55,1.86
2019/09/09T00:07:07z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.53,0.00,30944,31,351,19.52,28.45,32.77,19.25,28.34,32.77,3416.05,1019.27,170.52,13.59,3.55,2.64,20.36,28.80,32.68,19.57,28.52,32.68,3777.34,1069.75,177.68,12.95,2.64,0.45
2019/09/09T00:08:27z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.52,0.00,30944,31,431,19.82,27.66,34.11,19.48,27.55,34.11,3449.52,1039.34,161.77,17.09,5.82,3.91,21.40,29.33,33.29,20.60,29.02,33.29,3799.13,1099.02,165.07,17.20,3.29,0.45
2019/09/09T00:09:47z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.49,0.00,30944,31,511,20.23,28.77,33.94,19.77,28.60,33.94,3501.45,1061.60,178.23,15.96,4.26,3.66,20.76,28.82,32.16,20.18,28.64,32.16,3652.87,1058.42,161.20,14.44,2.80,0.31
2019/09/09T00:11:07z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.49,0.00,30944,31,591,19.16,27.25,33.30,19.07,27.23,33.30,3400.09,1025.55,165.66,17.80,5.09,3.32,20.79,28.87,34.56,20.23,28.40,34.56,3719.56,1075.23,157.67,19.87,5.67,0.88
2019/09/09T00:12:27z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,62,52.61,852.47,0.00,30944,31,671,20.33,28.98,33.73,19.80,28.93,33.73,3483.40,1047.13,173.93,16.93,3.47,2.67,21.42,28.89,34.24,20.47,28.62,34.24,3826.00,1099.96,159.02,17.24,5.24,1.87
