UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/09/06T00:00:13z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.62,0.00,30944,31,190,16.98,24.61,29.14,16.98,24.61,29.14,2994.27,887.23,146.05,18.73,3.59,1.09,18.70,25.41,28.20,18.68,25.41,28.20,3282.61,948.48,134.07,9.77,2.82,0.64
2019/09/06T00:01:33z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,65,52.00,851.48,0.00,30944,31,270,16.09,22.70,26.16,16.09,22.70,26.16,2813.52,847.18,132.50,11.68,3.68,2.36,17.64,23.89,26.75,17.64,23.89,26.75,3120.41,905.52,137.89,12.95,2.68,0.32
2019/09/06T00:02:52z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,65,52.00,851.53,0.00,30944,31,350,16.53,22.32,26.57,16.53,22.32,26.57,2860.60,866.62,123.40,10.68,3.45,2.00,17.02,23.26,25.02,17.02,23.26,25.02,3144.59,896.52,122.33,7.09,2.43,0.32
2019/09/06T00:04:12z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.53,0.00,30944,31,430,17.89,25.89,30.71,17.89,25.89,30.71,3147.47,950.22,161.33,14.00,5.51,1.91,18.98,26.02,29.37,18.81,26.02,29.37,3416.93,989.42,145.23,11.72,2.88,0.19
2019/09/06T00:05:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.50,0.00,30944,31,510,17.14,24.75,26.50,17.14,24.75,26.50,2972.11,887.89,144.41,8.82,1.64,1.14,16.89,24.18,27.00,16.89,24.18,27.00,3117.95,881.84,135.34,14.27,3.23,0.73
2019/09/06T00:06:52z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.52,0.00,30944,31,590,15.34,20.98,24.75,15.34,20.98,24.75,2740.43,807.39,133.86,12.86,2.23,0.95,16.48,23.07,25.61,16.48,23.07,25.61,3053.61,883.11,132.04,11.65,2.91,0.73
2019/09/06T00:08:12z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,65,52.00,851.51,0.00,30944,31,670,13.89,19.72,22.50,13.89,19.72,22.50,2471.22,743.28,112.54,9.70,2.91,1.87,16.61,22.43,24.83,16.61,22.43,24.83,2969.41,855.76,126.83,8.43,2.48,0.22
2019/09/06T00:09:32z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,65,52.00,851.50,0.00,30944,31,750,15.13,19.59,21.46,15.13,19.59,21.46,2586.91,784.20,95.41,7.87,0.78,0.61,14.98,20.02,22.41,14.98,20.02,22.41,2702.35,794.98,110.15,10.65,2.39,0.22
2019/09/06T00:10:03z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.30,0.00,30944,31,30,13.47,19.00,21.80,13.47,19.00,21.80,1405.00,442.27,53.00,4.27,1.47,0.53,13.67,15.00,15.33,13.67,15.00,15.33,1676.33,476.22,40.67,0.67,0.00,0.00
2019/09/06T00:11:23z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,66,52.42,851.36,0.00,30944,31,110,14.84,20.24,23.98,14.84,20.24,23.98,2706.33,788.29,115.42,11.64,3.87,1.29,14.55,19.36,22.32,14.55,19.36,22.32,2794.47,784.60,109.28,9.87,1.28,0.60
2019/09/06T00:12:43z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.53,0.00,30944,31,190,14.91,18.73,20.44,14.91,18.73,20.44,2860.47,775.60,92.49,6.67,1.82,1.29,15.34,19.43,21.89,15.34,19.43,21.89,2609.93,759.36,98.64,7.91,1.55,0.60
2019/09/06T00:14:03z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.44,0.00,30944,31,270,14.62,19.00,20.16,14.62,19.00,20.16,2898.80,781.58,99.16,4.18,0.53,0.53,14.09,19.00,22.54,14.09,19.00,22.54,2544.39,731.39,110.63,10.57,5.17,0.60
2019/09/06T00:15:23z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.51,0.00,30944,31,350,13.00,18.77,23.57,13.00,18.77,23.57,2586.83,722.34,113.72,12.85,4.98,2.77,13.93,18.30,20.50,13.93,18.30,20.50,2545.16,727.32,103.82,7.23,2.50,0.60
2019/09/06T00:16:43z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.47,0.00,30944,31,430,13.60,19.74,23.05,13.60,19.74,23.05,2423.93,728.81,109.58,12.09,2.47,1.77,14.80,19.98,22.52,14.80,19.98,22.52,2679.85,783.04,99.13,10.91,1.91,0.60
2019/09/06T00:18:03z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.54,0.00,30944,31,510,12.76,17.42,19.98,12.76,17.42,19.98,2268.40,680.31,105.18,6.31,2.58,2.58,14.38,18.09,20.31,14.38,18.09,20.31,2632.73,753.29,82.58,7.69,1.33,0.60
2019/09/06T00:19:23z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.52,0.00,30944,31,590,14.09,19.33,20.70,14.09,19.33,20.70,2464.17,749.83,109.30,5.43,1.48,1.48,13.50,18.78,21.46,13.50,18.78,21.46,2518.70,731.24,100.11,8.26,3.39,0.22
2019/09/06T00:20:43z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.56,0.00,30944,31,670,13.26,17.00,19.83,13.26,17.00,19.83,2263.02,676.43,97.00,6.72,2.04,2.00,12.96,17.00,19.60,12.96,17.00,19.60,2381.13,685.40,90.51,9.20,2.44,0.62
2019/09/06T00:22:04z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.54,0.00,30944,31,750,12.89,17.67,19.37,12.89,17.67,19.37,2285.22,680.22,104.28,5.04,1.22,0.70,12.21,17.09,18.87,12.21,17.09,18.87,2327.74,658.51,89.02,6.04,2.38,0.26
2019/09/06T00:22:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,65,52.95,851.55,0.00,30760,31,30,11.73,15.53,18.07,11.73,15.53,18.07,1186.60,357.40,51.13,4.67,2.27,2.27,13.00,14.78,14.78,13.00,14.78,14.78,1471.67,409.00,38.67,0.22,0.00,0.00
2019/09/06T00:23:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.50,0.00,30944,31,110,12.56,16.78,18.29,12.56,16.78,18.29,2160.00,666.84,95.38,4.00,1.24,0.84,12.84,17.02,17.98,12.84,17.02,17.98,2312.67,666.82,84.87,7.82,0.00,0.00
2019/09/06T00:25:15z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.57,0.00,30944,31,190,13.42,18.24,20.60,13.42,18.24,20.60,2305.53,690.13,105.84,9.51,2.49,1.42,13.31,17.76,19.18,13.31,17.76,19.18,2448.20,705.36,90.47,7.60,0.58,0.58
2019/09/06T00:26:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.54,0.00,30944,31,270,11.82,16.11,17.95,11.82,16.11,17.95,2075.32,619.59,97.39,7.05,1.59,1.18,12.46,15.91,16.80,12.46,15.91,16.80,2373.26,679.26,76.50,6.00,1.13,0.13
2019/09/06T00:27:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.54,0.00,30944,31,350,12.21,15.79,18.26,12.21,15.79,18.26,2161.21,645.91,86.98,7.11,2.26,1.19,12.96,17.49,19.53,12.96,17.49,19.53,2408.40,681.40,85.51,11.16,1.51,0.80
2019/09/06T00:29:15z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.50,0.00,30944,31,430,11.89,16.25,21.07,11.89,16.25,21.07,2151.55,647.43,95.32,12.55,4.82,3.41,13.20,16.78,19.11,13.20,16.78,19.11,2446.67,691.76,84.00,6.62,2.76,1.82
2019/09/06T00:30:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,64,53.48,851.55,0.00,30944,31,510,10.60,14.94,16.77,10.60,14.94,16.77,1931.62,578.53,85.68,8.04,1.40,3.41,12.70,16.64,17.87,12.70,16.64,17.87,2326.09,656.47,86.62,5.62,1.91,1.82
2019/09/06T00:31:55z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.53,0.00,30944,31,590,12.40,16.31,17.16,12.40,16.31,17.16,2143.93,641.02,86.00,4.18,1.11,0.49,13.13,16.83,19.50,13.13,16.83,19.50,2433.52,691.41,90.80,8.87,1.83,0.48
2019/09/06T00:33:15z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,64,52.53,851.51,0.00,30944,31,670,11.46,15.74,19.33,11.46,15.74,19.33,2046.72,616.11,85.09,8.91,3.39,2.74,12.67,16.31,17.69,12.67,16.31,17.69,2322.00,656.36,89.09,6.13,1.11,0.22
2019/09/06T00:34:35z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,65,53.90,851.54,0.00,30944,31,750,12.37,17.09,19.11,12.37,17.09,19.11,2224.11,663.43,112.74,6.83,1.09,0.91,12.44,16.12,20.00,12.44,16.12,20.00,2303.50,653.69,84.98,11.67,5.12,0.62
2019/09/06T00:35:06z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,64,53.48,851.52,0.00,30760,31,30,11.60,16.33,17.07,11.60,16.33,17.07,1243.80,370.20,50.33,3.87,0.00,0.00,10.56,10.89,11.22,10.56,10.89,11.22,1332.00,370.67,25.33,0.67,0.00,0.00
2019/09/06T00:36:26z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,64,53.48,851.52,0.00,30944,31,110,10.74,15.47,18.47,10.74,15.47,18.47,1980.77,595.49,81.33,10.56,2.88,1.53,12.51,16.24,18.38,12.51,16.24,18.38,2306.93,666.09,87.58,5.87,2.53,0.00
2019/09/06T00:37:46z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,64,53.48,851.55,0.00,30944,31,190,11.98,16.36,19.62,11.98,16.36,19.62,2135.81,649.89,95.83,9.57,4.34,1.40,11.80,16.09,17.32,11.80,16.09,17.32,2139.00,614.43,83.27,7.18,2.00,0.00
