UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/09/05T00:00:36z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,58,50.80,850.57,0.00,30944,31,750,11.20,14.91,16.22,11.20,14.91,16.22,2045.87,604.58,69.36,6.80,1.20,0.62,12.94,16.38,17.57,12.94,16.38,17.57,2393.68,671.79,75.62,5.06,1.45,0.64
2019/09/05T00:01:06z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,58,50.80,850.56,0.00,30944,31,30,12.40,15.27,19.00,12.40,15.27,19.00,1243.40,376.40,57.27,4.53,0.67,0.67,12.11,13.89,14.67,12.11,13.89,14.67,1441.33,410.67,47.78,1.11,1.11,1.11
2019/09/05T00:02:26z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,58,50.80,850.59,0.00,30944,31,110,11.33,14.96,16.67,11.33,14.96,16.67,2031.07,606.27,82.11,6.58,1.42,0.40,12.07,16.04,16.85,12.07,16.04,16.85,2254.70,643.85,76.67,7.87,0.17,1.11
2019/09/05T00:03:46z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.55,0.00,30944,31,190,11.89,16.04,19.18,11.89,16.04,19.18,2166.73,657.02,85.73,8.80,3.02,2.22,12.55,15.84,17.57,12.55,15.84,17.57,2329.43,663.41,79.23,4.77,2.41,1.11
2019/09/05T00:05:06z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.58,0.00,30944,31,270,12.80,16.29,17.53,12.80,16.29,17.53,2224.40,676.24,86.62,4.53,1.11,0.67,13.85,16.93,18.74,13.85,16.93,18.74,2497.96,712.43,78.83,7.52,1.26,1.11
2019/09/05T00:06:26z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.55,0.00,30944,31,350,12.78,17.11,18.72,12.78,17.11,18.72,2238.59,680.96,87.20,7.48,1.57,0.09,13.71,19.23,20.94,13.71,19.23,20.94,2549.87,741.12,104.33,8.04,0.75,1.11
2019/09/05T00:07:46z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.60,0.00,30944,31,430,13.82,17.58,19.38,13.82,17.58,19.38,2466.80,728.16,80.29,5.38,1.24,0.67,14.47,19.49,20.73,14.47,19.49,20.73,2676.67,763.73,96.27,7.78,0.44,1.11
2019/09/05T00:09:06z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.63,0.00,30944,31,510,13.85,17.21,19.27,13.85,17.21,19.27,2371.81,705.33,82.04,7.25,1.04,0.62,14.09,17.91,19.30,14.09,17.91,19.30,2574.75,732.30,87.30,5.14,2.45,1.11
2019/09/05T00:10:26z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.62,0.00,30944,31,590,13.73,17.80,21.02,13.73,17.80,21.02,2421.33,726.71,93.78,10.36,2.13,0.71,14.17,18.37,19.50,14.17,18.37,19.50,2607.52,745.48,82.76,7.48,0.61,1.11
2019/09/05T00:11:46z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.69,0.00,30944,31,670,14.24,17.59,19.15,14.24,17.59,19.15,2546.02,752.93,71.67,4.70,1.91,1.30,16.04,19.91,21.31,16.04,19.91,21.31,2906.07,825.51,94.96,7.73,1.02,1.11
2019/09/05T00:13:06z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.58,0.00,30944,31,750,14.15,17.76,21.59,14.15,17.76,21.59,2525.74,752.28,88.96,7.78,3.83,2.48,15.59,20.35,22.91,15.59,20.35,22.91,2901.00,813.67,103.30,10.09,3.26,0.78
2019/09/05T00:13:37z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.66,0.00,30944,31,30,11.87,14.93,17.13,11.87,14.93,17.13,1321.40,399.73,52.73,5.87,2.13,1.33,16.11,18.56,18.78,16.00,18.56,18.78,1760.67,498.89,47.22,0.89,0.00,0.00
2019/09/05T00:14:57z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.61,0.00,30760,31,110,13.88,18.60,21.33,13.88,18.60,21.33,2437.95,739.33,103.00,6.74,3.21,2.19,14.58,17.62,19.42,14.58,17.62,19.42,2610.07,748.64,76.33,7.60,0.36,0.18
2019/09/05T00:16:17z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.67,0.00,30944,31,190,13.86,19.16,20.70,13.86,19.16,20.70,2484.27,740.34,105.32,4.32,0.82,0.82,15.19,17.87,19.09,15.19,17.87,19.09,2608.15,759.89,73.64,3.40,1.40,0.43
2019/09/05T00:17:37z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,66.00,59,51.26,850.65,0.00,30944,31,270,13.93,17.26,18.89,13.93,17.26,18.89,2456.28,738.98,91.87,5.00,0.61,0.82,14.57,18.50,20.04,14.57,18.50,20.04,2632.30,760.09,89.80,5.22,1.91,0.61
