UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2020/01/05T00:01:19z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,43,55,857.17,0,36424,0,487,6.65,8.99,9.52,6.65,8.99,9.52,37,37,1271.07,381.61,48.89,4.79,0.06,0,6.13,8.42,9.58,6.13,8.42,9.58,35,35,1235.51,345.31,50.18,3.88,1.16,0,
2020/01/05T00:03:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,44,55,857.07,0,36424,0,602,6.25,8.42,9.61,6.25,8.42,9.61,35,35,1195.25,353.1,46.55,4,0.72,0.72,5.77,7.63,8.23,5.77,7.63,8.23,32,32,1175.66,331.92,40.8,2.23,0,0,
2020/01/05T00:05:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,43,54,857.09,0,36424,0,722,5.84,8.62,10.54,5.84,8.62,10.54,36,36,1203.84,359.68,54.01,4.44,2.12,1.65,4.56,6.56,7.24,4.56,6.56,7.24,27,27,1053.3,298.59,38.76,3.31,0.69,0,
2020/01/05T00:07:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,43,54,857.09,0,36424,0,842,5.9,8.45,9.25,5.9,8.45,9.25,35,35,1187.13,355.39,50.13,4.43,0.46,0,5.33,7,7.99,5.33,7,7.99,29,29,1080.74,303.88,38.19,3.04,0.61,0.35,
2020/01/05T00:09:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,43,55,857.1,0,36424,0,962,5.9,8,8.89,5.9,8,8.89,33,33,1117.11,332.66,43.34,4,0.4,0.4,6.06,7.57,7.83,6.06,7.57,7.83,32,32,1181.26,338.8,33.57,2.15,0,0,
2020/01/05T00:11:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,44,54,857.15,0,36424,0,1082,6.77,9.09,10.23,6.77,9.09,10.23,38,38,1297.17,389.23,51.48,4.64,1.39,1.01,5.32,6.97,8.51,5.32,6.97,8.51,29,29,1056.62,297.97,38.68,5.53,2.26,0,
2020/01/05T00:13:14z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,44,54,857.1,0,36424,0,1202,6.76,9.31,10.12,6.76,9.31,10.12,39,39,1297.97,386.82,51.01,3.73,0.72,0.72,5.07,6.91,7.93,5.07,6.91,7.93,29,29,1082.34,301.22,36.78,3.24,1.26,0,
2020/01/05T00:15:17z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,44,55,857.12,nan,36656,0,122,5.52,7.71,8.52,5.52,7.71,8.52,32,32,1109.25,342.92,45.4,4.23,0,0,5.3,7.61,8.22,5.3,7.61,8.22,32,32,1077.07,311.76,52.54,3.87,0.61,0,
2020/01/05T00:17:17z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,43,54,857.08,0,36568,0,242,5.81,7.84,8.63,5.81,7.84,8.63,33,33,1105.54,341.03,44,3.94,0.53,0.5,4.93,6.45,6.8,4.93,6.45,6.8,27,27,1084.77,306.31,39.35,1.24,0.17,0,
2020/01/05T00:19:17z,80:7d:3a:2b:d8:6d,4.11,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,78,43,53,857.06,0,36568,0,362,5.07,6.73,7.69,5.07,6.73,7.69,28,28,1041.51,313.13,39.43,3.03,1.2,0,5.16,6.79,7.75,5.16,6.79,7.75,28,28,1085.03,305.31,39.03,3.32,1.03,0.32,
